"Date","Price","Open","High","Low","Vol.","Change %"
"09-05-2024","22,089.00","22,370.50","22,400.50","22,039.50","59.17K","-1.34%"
"08-05-2024","22,388.00","22,338.50","22,496.00","22,286.00","46.35K","-0.02%"
"07-05-2024","22,393.50","22,637.00","22,638.00","22,310.50","56.06K","-0.87%"
"06-05-2024","22,590.00","22,700.00","22,708.50","22,526.00","50.10K","0.04%"
"03-05-2024","22,581.00","22,885.00","22,905.00","22,471.50","63.34K","-0.89%"
"02-05-2024","22,783.50","22,684.50","22,899.50","22,684.50","46.17K","0.73%"
"01-05-2024","22,619.00","22,646.00","22,758.00","22,614.00","12.58K","-0.58%"
"30-04-2024","22,750.00","22,748.00","22,863.50","22,653.50","55.46K","-0.07%"
"29-04-2024","22,765.00","22,621.00","22,797.50","22,568.00","40.53K","0.90%"
"26-04-2024","22,562.50","22,692.50","22,700.00","22,524.50","38.63K","-0.03%"
"25-04-2024","22,570.35","22,369.50","22,642.00","22,315.00","50.31K","0.67%"
"24-04-2024","22,420.00","22,427.00","22,486.00","22,331.00","69.05K","0.19%"
"23-04-2024","22,376.50","22,438.50","22,446.00","22,329.50","81.69K","-0.04%"
"22-04-2024","22,384.50","22,227.00","22,459.50","22,181.00","101.16K","1.24%"
"19-04-2024","22,111.00","21,975.50","22,206.00","21,659.50","71.97K","0.20%"
"18-04-2024","22,067.50","22,113.00","22,331.00","21,929.00","74.63K","-0.39%"
"17-04-2024","22,153.50","22,196.50","22,245.00","22,090.00","15.27K","-0.15%"
"16-04-2024","22,187.50","22,216.00","22,252.00","22,080.00","62.51K","-0.74%"
"15-04-2024","22,352.50","22,476.00","22,513.00","22,214.50","55.88K","-1.04%"
"12-04-2024","22,587.00","22,714.50","22,770.00","22,417.00","59.59K","0.14%"
"11-04-2024","22,555.00","22,689.00","22,715.00","22,500.00","24.67K","-1.08%"
"10-04-2024","22,800.50","22,833.50","22,849.50","22,608.50","38.92K","0.18%"
"09-04-2024","22,759.00","22,844.00","22,863.50","22,715.00","42.58K","-0.08%"
"08-04-2024","22,776.50","22,661.50","22,859.00","22,610.00","39.56K","0.69%"
"05-04-2024","22,621.50","22,535.00","22,675.00","22,504.00","46.01K","-0.11%"
